"Iteration","Uz_up1: Uz_up1 (m/s)","Uz_up2: Uz_up2 (m/s)","Uz_up3: Uz_up3 (m/s)","Uz_up4: Uz_up4 (m/s)","Uz_up5: Uz_up5 (m/s)","Uz_down1: Uz_down1 (m/s)","Uz_down2: Uz_down2 (m/s)","Uz_down3: Uz_down3 (m/s)","Uz_down4: Uz_down4 (m/s)","Uz_down5: Uz_down5 (m/s)"
70.0,1.5197085268506733E-4,6.623664857208559E-5,,,,2.1618306932841264E-4,1.5060693115706865E-4,5.8494669067868714E-5,2.360545910749399E-5,7.754360662020564E-6
71.0,1.5058137995281043E-4,6.568566364012311E-5,,,,2.148949293086152E-4,1.4994076476641696E-4,5.8266980818876523E-5,2.3518841463340156E-5,7.724827066233079E-6
72.0,1.4916270606345243E-4,6.515488223197021E-5,,,,2.1359805317057852E-4,1.4926099353492733E-4,5.804301134146029E-5,2.3435589772332322E-5,7.697277553602471E-6
73.0,1.477925132219912E-4,6.46118917257333E-5,,,,2.1232273666698818E-4,1.4858658528280847E-4,5.781170901504734E-5,2.33488226852078E-5,7.668153037181353E-6
74.0,1.4639563809462904E-4,6.408827522649859E-5,,,,2.1103788940946857E-4,1.4790068814203502E-4,5.758653932672008E-5,2.326578516016653E-5,7.640781075091113E-6
75.0,1.4504837609585595E-4,6.355218150137163E-5,,,,2.0977920516151923E-4,1.4722275506515967E-4,5.735638889815395E-5,2.3180769471470365E-5,7.6125706860755515E-6
76.0,1.436741670319417E-4,6.303487589652009E-5,,,,2.085069084837505E-4,1.4653336789335162E-4,5.712772042496277E-5,2.3096253759954148E-5,7.58489668668655E-6
77.0,1.4233247936314722E-4,6.249975515314756E-5,,,,2.0725437339827763E-4,1.458488302666335E-4,5.689447538012781E-5,2.300939218739104E-5,7.556633001795423E-6
78.0,1.4099765517122382E-4,6.198953621380015E-5,,,,2.0600119246664E-4,1.451572783926922E-4,5.6660890211147456E-5,2.2922874920405624E-5,7.528115939834434E-6
79.0,1.3969687333646448E-4,6.146568777385123E-5,,,,2.0477301763674222E-4,1.4447024364671923E-4,5.642570498137039E-5,2.2835148657082257E-5,7.499412641929214E-6
80.0,1.383768690520643E-4,6.096196087128327E-5,,,,2.0352546970376755E-4,1.4377650975321888E-4,5.619415375670733E-5,2.2748622575152198E-5,7.471757376607684E-6
81.0,1.3709038303895142E-4,6.0439351915822894E-5,,,,2.0230291954973905E-4,1.4308694400781967E-4,5.595861620096103E-5,2.266107655508501E-5,7.443820457170047E-6
82.0,1.3580937424972176E-4,5.994152258644284E-5,,,,2.0107275224439923E-4,1.4239312471248995E-4,5.5723289344825966E-5,2.257336593167294E-5,7.415292591612491E-6
83.0,1.3456258117143884E-4,5.9428519580501895E-5,,,,1.9987579352043853E-4,1.4170342594311598E-4,5.548704520112005E-5,2.2485282511495262E-5,7.3864433517766466E-6
84.0,1.3329390004132862E-4,5.8936746913343654E-5,,,,1.986548163047987E-4,1.410092860878446E-4,5.525328010999724E-5,2.239729213675192E-5,7.358474758836144E-6
85.0,1.320535878120655E-4,5.8426142375041416E-5,,,,1.974628640245437E-4,1.403186420120025E-4,5.5016445864452695E-5,2.2308573635186434E-5,7.329875934262804E-6
86.0,1.3082098939131326E-4,5.794170352288935E-5,,,,1.9626397521068016E-4,1.396267876201437E-4,5.478097647834852E-5,2.222015187667105E-5,7.301421162639836E-6
87.0,1.296160396837061E-4,5.7440729617921024E-5,,,,1.9509688457921418E-4,1.3894029837219262E-4,5.4545218357670684E-5,2.2132170729631463E-5,7.273011560044978E-6
88.0,1.2839710583460848E-4,5.6964794668367126E-5,,,,1.9390793515673628E-4,1.3825137503114718E-4,5.431151906360947E-5,2.2043942472995933E-5,7.244725359417246E-6
89.0,1.2721278836260117E-4,5.646656773619768E-5,,,,1.9275360384856383E-4,1.3756672605668967E-4,5.407381879220292E-5,2.195556544785964E-5,7.216589741436597E-6
90.0,1.2601576599968788E-4,5.59974092632819E-5,,,,1.9158007378293566E-4,1.368792654632009E-4,5.383894801646006E-5,2.186656815810979E-5,7.187661169764589E-6
91.0,1.2485077010284816E-4,5.5508924446970964E-5,,,,1.9043942787404098E-4,1.361972015305973E-4,5.3602085873595635E-5,2.1777877036073372E-5,7.159199057988219E-6
92.0,1.2367741283377594E-4,5.504708336819667E-5,,,,1.8928301379257277E-4,1.3551391938803386E-4,5.336792461065257E-5,2.168909311609701E-5,7.130608174364977E-6
93.0,1.225311778624889E-4,5.456403494898659E-5,,,,1.881561831180945E-4,1.3483428263322085E-4,5.313146253308179E-5,2.1600539575591754E-5,7.102451947876154E-6
94.0,1.2138093980739944E-4,5.4108267407079184E-5,,,,1.870165245870622E-4,1.3415417142611673E-4,5.289746486997625E-5,2.1511599758630127E-5,7.073445101616878E-6
95.0,1.2025464198383074E-4,5.363081240967766E-5,,,,1.8590556672569712E-4,1.334779224254127E-4,5.266200640021446E-5,2.1423108227287763E-5,7.0449994729021435E-6
96.0,1.1912689602993433E-4,5.318231424839779E-5,,,,1.847817603763057E-4,1.3280225478029192E-4,5.2428965013726135E-5,2.1334489260687763E-5,7.0161268668835895E-6
97.0,1.1801973705460245E-4,5.271050351362485E-5,,,,1.836851607602208E-4,1.321294938018179E-4,5.2193737683324344E-5,2.1245910112808922E-5,6.987836826985922E-6
98.0,1.169130811337582E-4,5.2269175848558314E-5,,,,1.8257635458874248E-4,1.3145740147701843E-4,5.1960548309479625E-5,2.115700332908421E-5,6.958710477053559E-6
99.0,1.1582497750860976E-4,5.1808093712139356E-5,,,,1.8149215528781104E-4,1.307881889652759E-4,5.1726183026496024E-5,2.1068551305562273E-5,6.930457243400279E-6
100.0,1.1473974543886302E-4,5.1373719551964274E-5,,,,1.8039801577385766E-4,1.3012092183921782E-4,5.1494138262417905E-5,2.0980054265224007E-5,6.901571492566167E-6
101.0,1.1366677627613271E-4,5.091671169149923E-5,,,,1.7932690416647308E-4,1.294559344787354E-4,5.126090958274086E-5,2.0891979738046904E-5,6.8735634040443705E-6
102.0,1.1260267654267432E-4,5.048905892354085E-5,,,,1.7824813454110064E-4,1.2879309703825732E-4,5.1030126469222794E-5,2.080393224031631E-5,6.844785988642397E-6
103.0,1.1154792473192732E-4,5.003819345108485E-5,,,,1.7719094493865144E-4,1.2813280199477914E-4,5.079843693776473E-5,2.0716265644842884E-5,6.816928289745982E-6
104.0,1.1050395687902247E-4,4.961738660798744E-5,,,,1.7612647110551398E-4,1.2747462575291027E-4,5.05684995172399E-5,2.0628303913405658E-5,6.788083016135399E-6
105.0,1.0946634954854033E-4,4.917201934393649E-5,,,,1.7508135677137885E-4,1.2681853900791288E-4,5.033768949323739E-5,2.0540660659936978E-5,6.76017871224206E-6
106.0,1.0844201151972719E-4,4.87578627355475E-5,,,,1.740309352439735E-4,1.2616517786484717E-4,5.010876603934639E-5,2.045287001606395E-5,6.73124419977634E-6
107.0,1.0742266838172483E-4,4.832045971948195E-5,,,,1.7299786673256404E-4,1.2551352481686873E-4,4.987877012426177E-5,2.0365304469251452E-5,6.7034075503867744E-6
