"Iteration","Uy_up1: Uy_up1 (m/s)","Uy_up2: Uy_up2 (m/s)","Uy_up3: Uy_up3 (m/s)","Uy_up4: Uy_up4 (m/s)","Uy_up5: Uy_up5 (m/s)","Uy_down1: Uy_down1 (m/s)","Uy_down2: Uy_down2 (m/s)","Uy_down3: Uy_down3 (m/s)","Uy_down4: Uy_down4 (m/s)","Uy_down5: Uy_down5 (m/s)"
130.0,1.0705949675462734E-14,2.0343983567197254E-15,,,,7.974226632808904E-15,-8.069585262375294E-15,2.01585444920712E-15,-8.742969855052382E-16,7.765953121467992E-16
131.0,1.0705943411321691E-14,2.0343974661316787E-15,,,,7.974218336065002E-15,-8.069583494793302E-15,2.015853746140006E-15,-8.742969111621787E-16,7.765953200068011E-16
132.0,1.0705936972241553E-14,2.0343965469420437E-15,,,,7.974210064168376E-15,-8.06958156702282E-15,2.015853042222895E-15,-8.742968452742629E-16,7.765953160142789E-16
133.0,1.0705930912297425E-14,2.0343954829312065E-15,,,,7.974201852135985E-15,-8.069579708841538E-15,2.0158523466630266E-15,-8.742967998299937E-16,7.765953078580029E-16
134.0,1.0705924652973937E-14,2.034394538236411E-15,,,,7.97419370161941E-15,-8.069577557769498E-15,2.0158516436543393E-15,-8.742967432117299E-16,7.765953027360571E-16
135.0,1.0705918504112403E-14,2.0343936509940894E-15,,,,7.974185583086616E-15,-8.069575790187507E-15,2.0158509493246377E-15,-8.742966772455382E-16,7.765953035001479E-16
136.0,1.0705912505666927E-14,2.0343928300272873E-15,,,,7.974177575114561E-15,-8.069574022605514E-15,2.015850259509495E-15,-8.742966118040142E-16,7.765953021919069E-16
137.0,1.0705906462997475E-14,2.034391876509447E-15,,,,7.974169550436829E-15,-8.069571979350279E-15,2.0158495654794968E-15,-8.742965727709174E-16,7.765952987615636E-16
138.0,1.0705900631851534E-14,2.0343909835870205E-15,,,,7.97416155647584E-15,-8.069570106442487E-15,2.0158488712752887E-15,-8.742965316324965E-16,7.765953053196502E-16
139.0,1.0705894589182079E-14,2.0343900666303715E-15,,,,7.974153691548396E-15,-8.069568345531566E-15,2.0158482000409262E-15,-8.742964794258627E-16,7.765953053133242E-16
140.0,1.0705888752844474E-14,2.034389212043393E-15,,,,7.974145806946354E-15,-8.069566507363496E-15,2.015847507003802E-15,-8.742964361651938E-16,7.765952989955282E-16
141.0,1.070588311620372E-14,2.034388290776184E-15,,,,7.9741380688658E-15,-8.069564484813656E-15,2.015846835854344E-15,-8.742963890958389E-16,7.7659531395144095E-16
142.0,1.0705877230746335E-14,2.0343875819752406E-15,,,,7.974130290307541E-15,-8.069562819484032E-15,2.015846154548518E-15,-8.742963457293883E-16,7.765953013221745E-16
143.0,1.0705871558047226E-14,2.03438663433943E-15,,,,7.97412263277092E-15,-8.069561058573112E-15,2.015845481408829E-15,-8.742962913391537E-16,7.765953024452724E-16
144.0,1.0705866087097133E-14,2.034385772096166E-15,,,,7.97411498129437E-15,-8.069559354906127E-15,2.0158448083802536E-15,-8.742962349387946E-16,7.765953045253025E-16
145.0,1.0705860484827624E-14,2.03438488819957E-15,,,,7.974107430289446E-15,-8.069557555075417E-15,2.0158441553016155E-15,-8.742962009033482E-16,7.765952994480609E-16
146.0,1.0705855064075584E-14,2.034384148314754E-15,,,,7.974099878949095E-15,-8.069555753445888E-15,2.015843500116335E-15,-8.742961421966835E-16,7.765953092219272E-16
147.0,1.0705849666924784E-14,2.0343832185278187E-15,,,,7.974092512338947E-15,-8.069554201911956E-15,2.015842851019729E-15,-8.742960902523833E-16,7.765953071739498E-16
148.0,1.0705844351895385E-14,2.0343824918780002E-15,,,,7.974085066719138E-15,-8.069552507407046E-15,2.0158421991540603E-15,-8.742960539275549E-16,7.765953016712746E-16
149.0,1.0705838983319855E-14,2.0343816372910215E-15,,,,7.974077754506386E-15,-8.06955058461857E-15,2.0158415338206795E-15,-8.742960089021716E-16,7.765953131724897E-16
150.0,1.0705833632390848E-14,2.0343808809268753E-15,,,,7.974070440347885E-15,-8.069549067824359E-15,2.0158408858206325E-15,-8.742959809542111E-16,7.76595309113541E-16
